X1,Y1,X2,Y2,X3,Y3
2.9,0.781325869059874,2.9,0.0209655906877944,2.9,0.76036027837208
3,0.663525191692914,3,0.0224553713421689,3,0.641069820350745
3.1,0.540615560865422,3.1,0.0240253599778367,3.1,0.516590200887585
3.2,0.413608177632927,3.2,0.0256791531412616,3.2,0.387929024491666
3.3,0.283548167171172,3.3,0.0274204237444541,3.3,0.256127743426718
3.4,0.15150613955939,3.4,0.0292529119189869,3.4,0.122253227640403
3.5,0.0185695432494525,3.5,0.0311804143001755,3.5,-0.0126108710507229
3.6,-0.114166118990159,3.6,0.033206771627504,3.6,-0.147372890617663
3.7,-0.245606140762708,3.7,0.0353358545516465,3.7,-0.280941995314355
3.8,-0.37466545793929,3.8,0.0375715475453968,3.8,-0.412237005484687
3.9,-0.500277418382078,3.9,0.0399177308258751,3.9,-0.540195149207953
4,-0.621402404733359,4,0.04237826020892,4,-0.663780664942279
4.1,-0.737036240697625,4.1,0.0449569448339857,4.1,-0.78199318553161
4.2,-0.846218312992144,4.2,0.0476575227195025,4.2,-0.893875835711646
4.3,-0.948039343434336,4.3,0.0504836341348433,4.3,-0.998522977569179
4.4,-1.04164874845294,4.4,0.0534387928060108,4.4,-1.09508754125895
4.5,-1.12626152663122,4.5,0.0565263550080759,4.5,-1.18278788163929
4.6,-1.20116461868699,4.6,0.059749486638299,4.6,-1.26091410532529
4.7,-1.26572268853527,4.7,0.063111128409631,4.7,-1.3288338169449
4.8,-1.31938327873014,4.8,0.0666139593546408,4.8,-1.38599723808478
4.9,-1.36168129860598,4.9,0.0702603588843484,4.9,-1.43194165749032
5,-1.39224280879341,5,0.0740523677042336,5,-1.46629517649765
5.1,-1.41078807143009,5.1,0.0779916479498586,5.1,-1.48877971937995
5.2,-1.41713384127509,5.2,0.0820794429658389,5.2,-1.49921328424093
5.3,-1.41119487902253,5.3,0.0863165372127986,5.3,-1.49751141623533
5.4,-1.39298467434589,5.4,0.0907032168456687,5.4,-1.48368789119155
5.5,-1.36261537254153,5.5,0.0952392315611984,5.5,-1.45785460410273
5.6,-1.32029690502829,5.6,0.0999237583606187,5.6,-1.42022066338891
5.7,-1.26633533034922,5.7,0.104755367912645,5.7,-1.37109069826186
5.8,-1.20113039866354,5.8,0.10973199422999,5.8,-1.31086239289353
5.9,-1.12517235896122,5.9,0.114850908386838,5.9,-1.24002326734805
6,-1.03903803433089,6,0.120108697003087,6,-1.15914673133398
6.1,-0.943386196518469,6.1,0.125501246201473,6.1,-1.06888744271994
6.2,-0.838952276679787,6.2,0.131023731704488,6.2,-0.969976008384275
6.3,-0.726542454614803,6.3,0.136670615678022,6.3,-0.863213070292825
6.4,-0.60702717382769,6.4,0.142435650847663,6.4,-0.749462824675353
6.5,-0.481334134448046,6.5,0.148311892311743,6.5,-0.629646026759788
6.6,-0.350440820333924,6.6,0.154291717353833,6.6,-0.504732537687756
6.7,-0.215366620522129,6.7,0.160366853418483,6.7,-0.375733473940612
6.8,-0.0771646085621765,6.8,0.166528414260553,6.8,-0.24369302282273
6.9,0.0630869538624417,6.9,0.172766944114335,6.9,-0.109679990251893
7,0.204293320284884,7,0.17907246955836,7,0.0252208507265246
7.1,0.345352099252336,7.1,0.185434558580501,7.1,0.159917540671835
7.2,0.485162158832051,7.2,0.191842386181235,7.2,0.293319772650816
7.3,0.622632523460695,7.3,0.198284805696455,7.3,0.424347717764241
7.4,0.756691190739154,7.4,0.204750424880577,7.4,0.551940765858577
7.5,0.886293796342011,7.5,0.211227685671084,7.5,0.675066110670926
7.6,1.01043205637599,7.6,0.217704946461592,7.6,0.792727109914397
7.7,1.12814191827867,7.7,0.224170565645714,7.7,0.903971352632959
7.8,1.23851135368523,7.8,0.230612985160934,7.8,1.00789836852429
7.9,1.34068772958891,7.9,0.237020812761668,7.9,1.10366691682724
8,1.43388469755754,8,0.243382901783809,8,1.19050179577373
8.1,1.51738854471366,8.1,0.249688427227834,8.1,1.26770011748583
8.2,1.59056395460716,8.2,0.255926957081616,8.2,1.33463699752554
8.3,1.65285913096683,8.3,0.262088517923686,8.3,1.39077061304314
8.4,1.70381024256896,8.4,0.268163653988336,8.4,1.43564658858063
8.5,1.74304515305973,8.5,0.274143479030426,8.5,1.4689016740293
8.6,1.77028640546463,8.6,0.280019720494506,8.6,1.49026668497012
8.7,1.78535343726029,8.7,0.285784755664147,8.7,1.49956868159614
8.8,1.78816400821729,8.8,0.291431639637681,8.8,1.49673236857961
8.9,1.77873482969332,8.9,0.296954125140696,8.9,1.48178070455262
9,1.75718139060671,9,0.302346674339082,9,1.45483471626763
9.1,1.72371698189766,9.1,0.307604462955331,9.1,1.41611251894233
9.2,1.67865092783077,9.2,0.312723377112179,9.2,1.36592755071859
